playerName,age,hometown,college,team,number,height,weight,experience,id
"Davis, Todd",25.0,"Inglewood , CA",Sacramento State,Denver Broncos,51,185.42,104.33,4th season,todddavis/2550930
"Porter, Tracy",30.0,"Port Allen , LA",Indiana,Chicago Bears,21,180.34,90.72,10th season,tracyporter/2507471
"Graham, Jimmy",30.0,"Goldsboro , NC",Miami (Fla.),Seattle Seahawks,88,200.66,120.2,8th season,jimmygraham/497236
"Smith, Antonio",35.0,"Oklahoma City , OK",Oklahoma State,Houston Texans,94,190.5,131.54,14th season,antoniosmith/2505988
"Fairbairn, Ka'imi",23.0,"Kailua , HI",UCLA,Houston Texans,7,182.88,83.91,2nd season,ka'imifairbairn/2556521
"Mitchell, Mike",29.0,"Fort Thomas , KY",Ohio U.,Pittsburgh Steelers,23,185.42,100.24,9th season,mikemitchell/238227
"Carroo, Leonte",23.0,"Plainfield , NJ",Rutgers,Miami Dolphins,88,182.88,98.43,2nd season,leontecarroo/2555215
"Wright, K.J.",27.0,"Memphis , TN",Mississippi State,Seattle Seahawks,50,193.04,111.58,7th season,k.j.wright/2495252
"Chester, Chris",34.0,"Tustin , CA",Oklahoma,Atlanta Falcons,65,190.5,137.44,12th season,chrischester/2495819
"Tamme, Jacob",32.0,"Lexington , KY",Kentucky,Atlanta Falcons,83,190.5,104.33,10th season,jacobtamme/324
"Tulloch, Stephen",32.0,"Miami , FL",North Carolina State,Philadelphia Eagles,50,180.34,111.13,12th season,stephentulloch/2506921
"Dunbar, Quinton",24.0,"Miami , FL",Florida,Washington Redskins,47,187.96,92.08,3rd season,quintondunbar/2553796
"Rodgers-Cromartie, Dominique",31.0,"Bradenton , FL",Tennessee State,New York Giants,41,187.96,87.54,10th season,dominiquerodgers-cromartie/306
"Fowler, Dante",22.0,"St. Petersburg , FL",Florida,Jacksonville Jaguars,56,187.96,113.4,3rd season,dantefowler/2553431
"Drescher, Justin",29.0,"Colorado Springs , CO",Colorado,New Orleans Saints,47,185.42,106.59,8th season,justindrescher/2513195
"McLeod, Rodney",26.0,"Clinton , MD",Virginia,Philadelphia Eagles,23,177.8,88.45,6th season,rodneymcleod/2534832
"Brock, Tramaine",28.0,"Gulfport , MS",Belhaven College,San Francisco 49ers,26,177.8,89.36,8th season,tramainebrock/2507917
"Cox, Fletcher",26.0,"Yazoo City , MS",Mississippi State,Philadelphia Eagles,91,193.04,140.61,6th season,fletchercox/2533051
"Edelman, Julian",31.0,"Redwood City , CA",Kent State,New England Patriots,11,177.8,90.72,9th season,julianedelman/238498
"Gilmore, Stephon",26.0,"Rock Hill , SC",South Carolina,New England Patriots,24,185.42,86.18,6th season,stephongilmore/2533062
"Williamson, Andrew",24.0,Germany,Vanderbilt,Indianapolis Colts,36,185.42,96.16,2nd season,andrewwilliamson/2556402
"Pierre-Louis, Kevin",25.0,"Norwalk , CT",Boston College,Seattle Seahawks,58,182.88,104.33,4th season,kevinpierre-louis/2543563
"Foster, Mason",28.0,"Seaside , CA",Washington,Washington Redskins,54,185.42,113.4,7th season,masonfoster/2495281
"Bucannon, Deone",24.0,"Oakland , CA",Washington State,Arizona Cardinals,20,185.42,95.71,4th season,deonebucannon/2543769
"Rowe, Eric",24.0,"Cleveland , OH",Utah,New England Patriots,25,185.42,92.99,3rd season,ericrowe/2552255
"O'Donnell, Pat",26.0,"Lake Worth , FL",Miami (Fla.),Chicago Bears,16,193.04,98.43,4th season,pato'donnell/2543611
"Kush, Eric",27.0,"Canonsburg , PA",California (PA),Chicago Bears,64,193.04,141.97,4th season,erickush/2541312
"Williams, Brandon",28.0,"Kirkwood , MO",Missouri Southern State,Baltimore Ravens,98,185.42,154.22,5th season,brandonwilliams/2541302
"Penny, Elijhaa",23.0,"Los Angeles , CA",Idaho,Arizona Cardinals,35,187.96,106.14,1st season,elijhaapenny/2556762
"Rivers, Derek",23.0,"Augusta , ME",Youngstown State,New England Patriots,95,193.04,113.4,Rookie,derekrivers/2558040
"Miller, Harlan",22.0,"Hammond , LA",Southeastern Louisiana,Arizona Cardinals,34,182.88,82.55,1st season,harlanmiller/2555174
"Cook, Connor",24.0,"Cleveland , OH",Michigan State,Oakland Raiders,8,193.04,98.43,2nd season,connorcook/2555332
"Funchess, Devin",23.0,"Farmington Hills , MI",Michigan,Carolina Panthers,17,193.04,102.06,3rd season,devinfunchess/2552458
"Crowder, Jamison",23.0,"Monroe , NC",Duke,Washington Redskins,80,172.72,82.55,3rd season,jamisoncrowder/2552415
"Spadola, Ryan",26.0,"Herndon , VA",Lehigh,Detroit Lions,18,185.42,92.99,3rd season,ryanspadola/2540268
"Valentine, Vincent",23.0,"Madison , IL",Nebraska,New England Patriots,99,187.96,145.15,2nd season,vincentvalentine/2555517
"Line, Zach",27.0,"Royal Oak , MI",Southern Methodist,Minnesota Vikings,48,185.42,105.69,5th season,zachline/2539303
"Theus, John",23.0,"Glen St. Mary , FL",Georgia,San Francisco 49ers,71,198.12,137.44,2nd season,johntheus/2555198
"Vitale, Danny",23.0,"Wheaton , IL",Northwestern,Cleveland Browns,40,185.42,108.41,2nd season,dannyvitale/2555218
"Miller, Braxton",24.0,"Springfield , OH",Ohio State,Houston Texans,13,185.42,92.99,2nd season,braxtonmiller/2555348
"Abdullah, Ameer",23.0,"Mobile , AL",Nebraska,Detroit Lions,21,175.26,92.08,3rd season,ameerabdullah/2552374
"Green, A.J.",28.0,"Ridgeville , SC",Georgia,Cincinnati Bengals,18,193.04,95.25,7th season,a.j.green/2495450
"Johnson, Rashad",31.0,"Sulligent , AL",Alabama,Tennessee Titans,25,180.34,92.53,9th season,rashadjohnson/71353
"Clowney, Jadeveon",24.0,"Rock Hill , SC",South Carolina,Houston Texans,90,195.58,122.47,4th season,jadeveonclowney/2543456
"McClain, Rolando",27.0,"Athens , AL",Alabama,Dallas Cowboys,55,193.04,115.67,6th season,rolandomcclain/496941
"Myers, Jason",26.0,"Chula Vista , CA",Marist,Jacksonville Jaguars,2,177.8,88.45,3rd season,jasonmyers/2553112
"Omameh, Patrick",27.0,"Columbus , OH",Michigan,Jacksonville Jaguars,77,193.04,143.34,5th season,patrickomameh/2539259
"Forrest, Josh",25.0,"Paducah , KY",Kentucky,Los Angeles Rams,59,190.5,112.94,2nd season,joshforrest/2555167
"Bodine, Russell",24.0,"Woodbridge , VA",North Carolina,Cincinnati Bengals,61,190.5,139.71,4th season,russellbodine/2543622
"Witzmann, Bryan",26.0,"New Brighton , MN",South Dakota State,Kansas City Chiefs,70,200.66,145.15,2nd season,bryanwitzmann/2550606
"Williams, Xavier",25.0,"Grandview , MO",Northern Iowa,Arizona Cardinals,94,187.96,140.16,3rd season,xavierwilliams/2553764
"Dangerfield, Jordan",26.0,"Elmont , NY",Towson,Pittsburgh Steelers,37,177.8,90.26,2nd season,jordandangerfield/2541696
"Judon, Matt",24.0,"Pontiac , MI",Grand Valley State,Baltimore Ravens,91,190.5,124.74,2nd season,mattjudon/2555505
"Crabtree, Michael",29.0,"Dallas , TX",Texas Tech,Oakland Raiders,15,185.42,97.52,9th season,michaelcrabtree/71269
"Bell, Le'Veon",25.0,"Columbus , OH",Michigan State,Pittsburgh Steelers,26,185.42,102.06,5th season,le'veonbell/2540175
"Jenkins, Jarvis",29.0,"Clemson , SC",Clemson,Kansas City Chiefs,94,193.04,136.08,7th season,jarvisjenkins/2495178
"Mewhort, Jack",25.0,"Toledo , OH",Ohio State,Indianapolis Colts,75,198.12,141.52,4th season,jackmewhort/2543744
